"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT"
SevenSins.ro,"chiloti sexy",SevenSins,P5109-2,"Chilot P5109-2 Alb",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fchiloti-sexy%2Fsevensins%2Fp5109-2%2F%3Fimg%3D180885,https://cdn.sevensins.ro/images/products/7simg/104765/full/chilot-sevensins-p5109-2-180885.jpg,47.99,
SevenSins.ro,"seturi si compleuri sexy",SevenSins,R81035-1,"Set R81035-1 Negru",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fseturi-si-compleuri-sexy%2Fsevensins%2Fr81035-1%2F%3Fimg%3D180919,https://cdn.sevensins.ro/images/products/7simg/104773/full/set-sevensins-r81035-1-180919.jpg,109.99,65.99
SevenSins.ro,"lenjerie comestibila",SevenSins,C80725-2,"Cravasa C80725-2 Rosu",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Faccesorii%2Fsevensins%2Fc80725-2%2F%3Fimg%3D180889,https://cdn.sevensins.ro/images/products/7simg/104769/full/cravasa-sevensins-c80725-2-180889.jpg,44.99,
SevenSins.ro,"body si topuri",SevenSins,R81215,"Body R81215 Negru",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fbody-si-topuri%2Fsevensins%2Fr81215%2F%3Fimg%3D180901,https://cdn.sevensins.ro/images/products/7simg/104767/full/body-sevensins-r81215-180901.jpg,114.99,68.98
SevenSins.ro,"lenjerie comestibila",SevenSins,C81277-1,"Bici C81277-1 Negru",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Faccesorii%2Fsevensins%2Fc81277-1%2F%3Fimg%3D180903,https://cdn.sevensins.ro/images/products/7simg/104763/full/bici-sevensins-c81277-1-180903.jpg,34.99,
SevenSins.ro,"seturi si compleuri sexy",SevenSins,R81174,"Set R81174 Rosu",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fseturi-si-compleuri-sexy%2Fsevensins%2Fr81174%2F%3Fimg%3D180883,https://cdn.sevensins.ro/images/products/7simg/104761/full/set-ohyeah-red-hollow-out-bow-knot-bra-set-with-wristband-180883.jpg,84.99,50.99
SevenSins.ro,"body si topuri",SevenSins,R80737-2,"Body R80737-2 Alb",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fbody-si-topuri%2Fsevensins%2Fr80737-2%2F%3Fimg%3D180877,https://cdn.sevensins.ro/images/products/7simg/104759/full/body-sevensins-r80737-2-180877.jpg,84.99,50.99
SevenSins.ro,"desuuri incitante",SevenSins,R81037-2,"Chemise R81037-2 Alb",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fdesuuri-incitante%2Fsevensins%2Fr81037-2%2F%3Fimg%3D180869,https://cdn.sevensins.ro/images/products/7simg/104757/full/chemise-sevensins-r81037-2-180869.jpg,79.99,67.98
SevenSins.ro,"chiloti sexy",SevenSins,P5267-2,"Chilot P5267-2 Rosu",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Fchiloti-sexy%2Fsevensins%2Fp5267-2%2F%3Fimg%3D180849,https://cdn.sevensins.ro/images/products/7simg/104751/full/chilot-sevensins-p5267-2-180849.jpg,29.99,
SevenSins.ro,"lenjerie comestibila",SevenSins,C80726-3,"Catuse C80726-3 Roz",//profitshare.ro/lps/Kep/K79/?redirect=https%3A%2F%2Fwww.sevensins.ro%2Faccesorii%2Fsevensins%2Fc80726-3%2F%3Fimg%3D180871,https://cdn.sevensins.ro/images/products/7simg/104755/full/catuse-sevensins-c80726-3-180871.jpg,34.99,
